Código do Item,Descrição do Item,Grupo,Classe,PDM,Status,Sustentável
100609,"BISSULFITO DE SÓDIO, BISSULFITO DE SODIO NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,03574: BISSULFITO DE SÓDIO                                                                                 ,Inativo,Não
100617,"BIFTALATO DE POTÁSSIO, BIFTALATO DE POTASSIO NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,03552: BIFTALATO DE POTÁSSIO                                                                               ,Inativo,Não
100625,"BROMETO DE POTÁSSIO, BROMETO DE POTASIIO NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,03919: BROMETO DE POTÁSSIO                                                                                 ,Inativo,Não
100633,"MARCA-PASSO CARDÍACO, BRILHANT GREEN BILE NOME","65: EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO                                                         ","6515: INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS MÉDICOS  E  CIRÚRGICOS                                                         ",03865: MARCA-PASSO CARDÍACO                                                                                ,Inativo,Não
100641,"PASIREOTIDA, BLOMTHYMOLBLAU NOME","65: EQUIPAMENTOS E ARTIGOS PARA USO MÉDICO, DENTÁRIO E VETERINÁ-RIO                                                         ",6505: DROGAS E MEDICAMENTOS                                                                                                   ,03627: PASIREOTIDA                                                                                         ,Inativo,Não
10065,"RODA POLIMENTO, RODA DE TIRA ABRASIVA NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5345: DISCOS E PEDRAS ABRASIVOS                                                                                               ,11772: RODA POLIMENTO                                                                                      ,Inativo,Não
100650,"CLORETO DE NEODIMIO, CORETO DE ESTANHO NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,05878: CLORETO DE NEODIMIO                                                                                 ,Inativo,Não
100668,"CÂNFORA, CANFORA NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,04417: CÂNFORA                                                                                             ,Inativo,Não
100676,"CARBONATO DE POTÁSSIO, CARBONATO DE POTASSIO NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,04519: CARBONATO DE POTÁSSIO                                                                               ,Inativo,Não
100684,"FLOXURIDINA, CLORETO DE COBRE NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,05107: FLOXURIDINA                                                                                         ,Inativo,Não
100692,"RITONAVIR, CITRATO DE SODIO NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,00735: RITONAVIR                                                                                           ,Inativo,Não
1007,"BOTE INFLÁVEL, BOTE PNEUMATICO NOME","42: EQUIPAMENTO PARA COMBATE A INCÊNDIO, RESGATE E SEGURANÇA                                                                ",4220: EQUIPAMENTO PARA MERGULHO E SALVAMENTO MARÍTIMO                                                                         ,03843: BOTE INFLÁVEL                                                                                       ,Inativo,Não
100706,"CLORETO DE AMÔNIO, CLORETO DE AMONIO NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,05101: CLORETO DE AMÔNIO                                                                                   ,Inativo,Não
100714,"CLORETO DE NÍQUEL, CLORETO DE NIQUEL NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,05115: CLORETO DE NÍQUEL                                                                                   ,Inativo,Não
100722,"CLORETO DE MERCÚRIO, CLORETO DE MERCURIO NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,05113: CLORETO DE MERCÚRIO                                                                                 ,Inativo,Não
10073,"RODA PG, RODA PG NOME",53: FERRAGENS E ABRASIVOS                                                                                                   ,5345: DISCOS E PEDRAS ABRASIVOS                                                                                               ,11774: RODA PG                                                                                             ,Ativo,Não
100730,"CLORETO DE CÁLCIO, CLORETO DE CALCIO NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,05105: CLORETO DE CÁLCIO                                                                                   ,Inativo,Não
100749,"CLORETO DE ALUMÍNIO, CLORETO DE ALUMINIO NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,05100: CLORETO DE ALUMÍNIO                                                                                 ,Inativo,Não
100757,"HIDRATO DE CLORAL, CLORAL HIDRATADO NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,05093: HIDRATO DE CLORAL                                                                                   ,Inativo,Não
100765,"MALONATO DE DIMETILA, VIOLETA CRISTAL NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,13449: MALONATO DE DIMETILA                                                                                ,Inativo,Não
100773,"NITRATO DE COBALTO, NITRATO COBALTO NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,10097: NITRATO DE COBALTO                                                                                  ,Inativo,Não
100781,"GLUTARALDEÍDO, GLUCOSE ANIDRA NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,08021: GLUTARALDEÍDO                                                                                       ,Inativo,Não
100790,"DICLOROMETANO, DICLOROMETANO NOME",68: SUBSTÂNCIAS E PRODUTOS QUÍMICOS                                                                                         ,6810: PRODUTOS QUÍMICOS                                                                                                       ,06181: DICLOROMETANO                                                                                       ,Inativo,Não
